1,0.9052,1.2997,1.1886,1.296,0.98798,1.2812,1.1056,1.1249,1.1816
2,0.48355,0.71641,1.2965,0.72678,0.68147,0.57027,0.8989,0.71688,0.64108
3,0.64558,0.45423,1.3541,0.79141,0.67278,0.74879,1.2788,0.90013,0.65559
4,0.082951,0.13313,1.7687,0.11532,0.12233,0.0088721,0.21206,0.11442,0.08539
5,0.54413,1.8527,1.2871,1.502,1.3181,1.3021,1.9467,1.5223,0.8126
6,0.42628,0.31979,1.8611,0.23918,0.20996,0.19801,0.69328,0.36709,0.35975
7,0.64403,0.35047,1.8027,0.44533,0.33993,0.36436,0.44384,0.38271,0.33106
8,0.25131,0.08032,0.99771,0.22183,0.12694,0.17671,0.37875,0.22746,0.20849
9,0.73991,0.98352,2.4915,0.55136,0.74595,0.9269,1.0207,0.89784,0.59077
10,0.33826,0.14177,1.1182,0.14559,0.44114,0.28426,0.46564,0.39701,0.21923
11,0.26756,0.085038,1.3273,0.089366,0.069653,0.14282,0.40017,0.20421,0.11575
12,0.28309,0.12035,4.353,0.20274,0.07291,0.075566,0.28824,0.14557,0.1006
13,0.34023,0.20628,1.5948,0.28024,0.1109,0.21173,0.32195,0.21486,0.14937
14,0.49316,0.72281,1.181,0.89081,0.47866,0.82432,0.96813,0.75704,0.62597
15,0.54056,0.44722,1.1554,0.55009,1.5596,0.45866,0.67026,0.89618,0.42257
16,0.54373,1.1133,2.3743,0.27801,1.9011,0.42871,0.61842,0.98276,0.86987
17,0.43638,1.0236,1.6666,0.65245,2.6305,0.44573,0.71504,1.2638,1.3119
18,0.33846,0.30513,1.1175,0.25924,0.18009,0.063425,0.052914,0.09881,0.26124
19,0.40096,0.77389,1.3583,0.61665,0.68781,0.83262,1.6717,1.064,1.304
20,0.47265,0.15359,0.71707,0.59272,0.40603,0.083702,0.44049,0.31007,0.15346
21,0.48782,0.52822,1.5459,0.52475,0.95856,0.47564,0.60958,0.68126,0.62307
22,0.2376,0.097904,0.60464,0.27833,0.20214,0.15306,0.36521,0.24014,0.18586
23,0.76158,0.98494,2.125,0.55303,0.55773,1.055,0.70163,0.77146,1.0891
24,0.057326,0.099861,0.049999,0.1754,0.048446,0.079154,0.019054,0.048885,0.056115
25,0.84203,0.61312,2.4536,1.0216,1.2087,0.84952,1.6043,1.2208,0.88632
26,0.67814,0.69615,1.6396,0.5889,1.4928,0.61312,1.0989,1.0683,0.48001
27,0.40421,0.40093,1.3742,0.40169,0.36253,0.38762,0.75322,0.50112,0.59867
28,0.50488,1.0431,2.8123,0.77533,0.76569,0.77964,1.4133,0.98619,0.85484
29,0.30413,0.54948,1.527,0.28591,0.47423,0.35092,0.70002,0.50839,0.65693
30,0.29284,0.35473,0.99999,0.44806,0.54096,0.24576,0.43681,0.40785,0.32224
31,0.67327,0.19338,1.1933,0.20427,0.87941,0.20483,0.26055,0.44826,0.11641
32,0.37372,0.31244,2.3042,0.4986,1.1912,0.29885,0.83931,0.77645,0.52104
33,0.66129,0.66636,0.98434,0.67363,0.20618,0.57813,0.81287,0.53239,1.1384
34,1.2326,1.044,1.0176,0.97942,1.0812,1.293,1.1544,1.1762,0.98092
