Samples	0	2	4	8	16	30	45	90
Actb 	9.48E-01	1.36E+00	1.25E+00	1.36E+00	1.03E+00	1.34E+00	1.16E+00	1.24E+00
Adam10 	5.00E-01	7.40E-01	1.34E+00	7.51E-01	7.04E-01	5.89E-01	9.29E-01	6.62E-01
Adam33 	6.86E-01	4.83E-01	1.44E+00	8.41E-01	7.15E-01	7.96E-01	1.36E+00	6.97E-01
Alk 	5.24E+00		3.18E+01	2.35E+00	1.48E+00	7.31E-01	2.08E+00	6.46E+00
Angpt2 	2.47E-01	3.96E-01	5.26E+00	3.43E-01	3.64E-01	2.64E-02	6.30E-01	2.54E-01
Ankk1 	7.85E-01	2.67E+00	1.86E+00	2.17E+00	1.90E+00	1.88E+00	2.81E+00	1.17E+00
Aqp1 	1.29E+00	9.64E-01	5.61E+00	7.21E-01	6.33E-01	5.97E-01	2.09E+00	1.08E+00
Bambi 	1.43E+00	7.79E-01	4.01E+00	9.90E-01	7.55E-01	8.10E-01	9.86E-01	7.36E-01
Bdnf 	4.73E-01	1.51E-01	1.88E+00	4.17E-01	2.39E-01	3.33E-01	7.13E-01	3.92E-01
Bmpr1a 	8.22E-01	1.09E+00	2.77E+00	6.13E-01	8.29E-01	1.03E+00	1.13E+00	6.56E-01
Bmpr1b 	5.13E-01	2.15E-01	1.69E+00	2.21E-01	6.68E-01	4.31E-01	7.06E-01	3.32E-01
Ccr4 	6.43E-01	2.04E-01	3.19E+00	2.15E-01	1.67E-01	3.43E-01	9.62E-01	2.78E-01
Ccr5 	1.10E+00	4.68E-01	1.69E+01	7.88E-01	2.83E-01	2.94E-01	1.12E+00	3.91E-01
Ccr7 	7.56E+00	2.39E+00			1.16E+00	6.38E-02	2.47E+00	2.24E+00
Ccr8 	8.69E-01	5.27E-01	4.07E+00	7.16E-01	2.83E-01	5.41E-01	8.22E-01	3.81E-01
Cdh11 	5.63E-01	8.25E-01	1.35E+00	1.02E+00	5.46E-01	9.41E-01	1.11E+00	7.14E-01
Cdh2 	5.51E-01	4.56E-01	1.18E+00	5.61E-01	1.59E+00	4.68E-01	6.83E-01	4.31E-01
Cdh6 	5.91E-01	1.21E+00	2.58E+00	3.02E-01	2.07E+00	4.66E-01	6.72E-01	9.45E-01
Cdh7 	4.53E-01	1.06E+00	1.73E+00	6.77E-01	2.73E+00	4.63E-01	7.42E-01	1.36E+00
Cfc1b 	9.34E-01	8.42E-01	3.08E+00	7.15E-01	4.97E-01	1.75E-01	1.46E-01	7.21E-01
Col2a1 	4.29E-01	8.27E-01	1.45E+00	6.59E-01	7.35E-01	8.90E-01	1.79E+00	1.39E+00
Cxcl12 	6.28E-01	2.04E-01	9.54E-01	7.88E-01	5.40E-01	1.11E-01	5.86E-01	2.04E-01
Cxcr4 	7.24E-01	7.84E-01	2.30E+00	7.79E-01	1.42E+00	7.06E-01	9.05E-01	9.25E-01
Cxcr5 	5.14E-01	2.12E-01	1.31E+00	6.02E-01	4.37E-01	3.31E-01	7.90E-01	4.02E-01
Dsp 	8.51E-01	1.10E+00	2.37E+00	6.18E-01	6.23E-01	1.18E+00	7.84E-01	1.22E+00
Ednra 	2.48E-01	2.57E-01	8.37E-01	5.58E-01	6.66E-01	6.12E-01	5.96E-01	4.47E-02
Elav4 	2.09E-01	3.63E-01	1.82E-01	6.38E-01	1.76E-01	2.88E-01	6.93E-02	2.04E-01
Epha1 	8.28E-01				2.81E-01	8.16E-02	1.46E-01	
Epha2 	9.84E-01	7.16E-01	2.87E+00	1.19E+00	1.41E+00	9.93E-01	1.87E+00	1.04E+00
Epha3 	4.05E-01		7.86E-01	5.20E-01	1.15E+00	7.05E-02	7.71E-01	2.51E-01
Epha4 	8.30E-01	8.52E-01	2.01E+00	7.21E-01	1.83E+00	7.51E-01	1.35E+00	5.88E-01
Ephb1 	5.71E-01	5.67E-01	1.94E+00	5.68E-01	5.12E-01	5.48E-01	1.06E+00	8.46E-01
Ephb3 	6.03E-01	1.25E+00	3.36E+00	9.26E-01	9.15E-01	9.31E-01	1.69E+00	1.02E+00
Erbb2 	5.23E-01	9.45E-01	2.63E+00	4.92E-01	8.16E-01	6.04E-01	1.20E+00	1.13E+00
Fgf8 	4.85E-01	1.32E+00		7.51E-01	5.64E-01	8.27E-02	2.54E-01	
Fgfr1 	4.65E-01	5.64E-01	1.59E+00	7.12E-01	8.60E-01	3.91E-01	6.94E-01	5.12E-01
Fgfr2 	1.41E+00	4.06E-01	2.50E+00	4.29E-01	1.85E+00	4.30E-01	5.47E-01	2.44E-01
Fgfr3 	4.79E-01	4.00E-01	2.95E+00	6.39E-01	1.53E+00	3.83E-01	1.07E+00	6.67E-01
Foxd3 	6.93E-01	6.98E-01	1.03E+00	7.06E-01	2.16E-01	6.06E-01	8.52E-01	1.19E+00
Gapdh 	1.28E+00	1.08E+00	1.06E+00	1.02E+00	1.12E+00	1.34E+00	1.20E+00	1.02E+00
Gpc3 	1.11E+00	1.42E+00	3.25E+00	7.74E-01	3.34E-01	7.98E-01	8.07E-01	2.98E-01
Hand2 		1.06E+00			7.49E-01	1.91E-02	1.19E+00	
Hprt 	6.16E-01	4.10E-01	2.13E+00	4.42E-01	8.05E-01	3.55E-01	9.82E-01	2.78E-01
Il8 	3.81E+00	2.11E+00	8.54E+00	1.08E+00		2.90E+00	2.34E-01	1.61E+00
Isl1 	1.47E+00		4.49E+00	5.25E+00	1.23E+00	1.38E-01	8.73E-01	2.01E+00
Itga1 	2.78E-01	6.38E-01	4.96E-01	6.91E-01	1.24E+00	1.80E-01	1.10E+00	3.01E-01
Itga4 	4.97E-01	8.21E-01	1.07E+00	8.08E-01	2.50E-01	1.03E+00	1.51E+00	1.40E+00
Itga6 	4.52E-01	1.00E+00	4.91E+00	1.26E+00	4.71E-01	9.01E-01	1.84E+00	1.69E+00
Itga9 	3.17E-01	5.47E-01	7.77E-01	4.01E-01	4.78E-01	3.34E-01	6.26E-01	7.09E-01
Itgav 	5.54E-01	5.49E-01	3.14E+00	6.68E-01	8.52E-01	8.89E-01	6.50E-01	4.59E-01
Itgb1 	3.99E-01	6.45E-01	1.16E+00	1.06E+00	7.82E-01	5.57E-01	9.98E-01	7.45E-01
Itgb5 	5.16E-01	7.14E-01	2.39E+00	6.42E-01	1.02E+00	7.80E-01	1.48E+00	1.15E+00
Kdr 	9.56E-01	1.73E+00	3.15E+00	1.74E+00	2.69E+00	7.15E-01	2.02E+00	6.18E-01
Krt15 	9.11E-01	7.33E-01		2.44E-01	2.19E-01	1.44E-01	9.44E-01	7.03E-01
Mitf 	1.40E+00	7.04E-01	1.06E+00	1.20E+00	4.66E-01	5.11E-01	1.79E+00	2.28E+00
Mmp2 	9.25E-01	2.97E-01	2.93E+00	1.43E+00	2.70E+00	8.74E-01		3.44E-01
Mmp9 	6.36E-02		1.46E+00	8.84E-01	2.36E-01	8.31E-02		3.59E-01
Msx1 	3.41E-01	4.73E-01	3.47E-01	2.15E-01	7.08E-02	6.66E-03	9.48E-02	1.89E-01
Ncam2 	8.05E-01		7.23E+00			1.78E-01	5.62E-01	
Nedd9 	5.58E-01	4.45E-01	2.47E-01	2.77E-01	1.02E+00	3.09E-01	8.92E-01	5.68E-01
Nefm 	7.77E-01	6.54E-01	1.54E+00	5.18E-01	2.83E-01	4.46E-01	1.75E-01	4.05E-01
Nes 	7.66E-01	1.06E+00	2.29E+00	4.32E-01	8.86E-01	1.01E+00	6.89E-01	9.46E-01
Notch1 	4.32E-01	7.11E-01	1.16E+00	8.58E-01	1.16E+00	4.94E-01	1.30E+00	9.72E-01
Nrg1 	7.53E-01	2.24E+00	1.12E-01			1.38E-01		
Nrg2 	8.56E-01	8.77E-01					7.41E-01	1.04E+00
Nrp1 	4.57E-01	3.80E-01	1.99E+00	7.41E-01	1.24E+00	6.40E-01	9.84E-01	8.76E-01
Nrp2 	5.87E-01	1.03E+00	1.12E+00	1.16E+00	8.25E-01	7.69E-01	1.46E+00	1.15E+00
Pax3 	1.01E+00	1.49E+00	3.21E+00	3.30E-01	4.81E-01	5.06E-01	8.34E-01	1.05E+00
Pcdh1 	5.85E-01	1.11E+00	1.48E+00	1.28E+00	6.96E-01	1.64E+00	2.49E+00	1.64E+00
Pcdh19 	5.07E-01	3.64E-01	1.54E+00	5.00E-01	7.82E-01	2.55E-01	1.16E+00	2.66E-01
Pdgfrl 	1.10E+00	3.41E-01	1.98E+00	1.34E+00	7.78E-01	3.17E-01	8.62E-01	5.91E-01
Perp 	3.04E-01	8.06E-01	1.90E-01	2.44E-01	1.35E-01	8.90E-02	4.89E-01	4.29E-01
Phox2b 	1.90E+00			1.62E+00	1.17E+00	7.00E-02		1.74E+00
Pkp2 	8.29E-01	6.02E-01	3.62E+00	6.72E-01	5.72E-01	4.93E-01	9.93E-01	5.36E-01
Rhoa 	8.52E-01	6.94E-01	7.67E-01	7.43E-01	8.78E-01	5.99E-01	7.53E-01	7.99E-01
Robo1 	5.33E-01	8.71E-01	1.32E+00	9.62E-01	6.95E-01	7.66E-01	1.09E+00	6.05E-01
Robo2 	4.34E-01	2.83E-01	1.61E+00	3.67E-01	6.08E-01	5.73E-01	8.16E-01	2.37E-01
Rplpo 	6.55E-01	6.13E-01	9.03E-01	5.66E-01	6.29E-01	5.90E-01	8.11E-01	7.68E-01
Runx2 	2.81E-01				2.06E+00	1.74E-01	7.94E-01	6.68E-01
Slit1 	4.00E-01	4.86E-01	2.83E+00	7.43E-01	6.37E-01	7.75E-01	9.06E-01	1.42E+00
Slit2 	1.23E+00	9.14E-01	2.56E+00	1.41E+00	7.18E+00	1.98E+00	3.75E+00	8.64E-01
Snail1 	8.33E-01	7.13E-01	3.56E+00	1.54E+00	9.38E-01	1.54E-01	1.43E+00	3.30E-01
Sox10 	8.67E-01	1.26E+00	9.14E-01	7.75E-01	3.82E-01	9.15E-01	1.12E+00	1.67E+00
Spon1 	5.74E-01	7.62E-01	1.94E+00	1.15E+00	3.82E+00	1.15E+00	1.16E+00	8.92E-01
Tfap2a 	1.02E+00	1.19E+00	1.99E+00	8.55E-01	2.24E-01	7.12E-01	6.09E-01	1.10E+00
Tgfbr1 	3.12E-01	6.28E-01	6.08E-01	3.05E-01	7.52E-01	4.16E-01	8.41E-01	4.38E-01
Uncb5 	8.18E-01	1.14E+00	1.71E+00		6.31E-01	1.88E-01	5.67E-01	5.02E-01
Ywhaz 	1.77E+00	8.90E-01	9.51E-01	6.44E-01	8.09E-01	7.89E-01	6.69E-01	9.53E-01
