Samples	90	92	94	98	106	120	135	180
Actb 	1.24E+00	1.13E+00	1.37E+00	1.23E+00	1.45E+00	1.27E+00	1.28E+00	1.26E+00
Adam10 	6.62E-01	3.76E-01	5.79E-01	7.14E-01	1.77E+00	6.77E-01	7.82E-01	2.90E-01
Adam33 	6.97E-01	4.54E-01	5.35E-01	8.51E-01	1.90E+00	5.84E-01	8.73E-01	1.34E+00
Alk 	6.46E+00	1.02E+00	3.51E+00	1.28E+01	1.67E+00		4.24E+00	7.34E-01
Angpt2 	2.54E-01	8.65E-01	1.01E-01	4.33E-01	8.53E-01	1.23E-01	6.22E-01	9.25E-01
Ankk1 	1.17E+00	6.12E-01	6.59E-01	1.43E+00	1.09E+00	1.16E+00	2.71E+00	3.26E-01
Aqp1 	1.08E+00	1.21E+00	1.77E-01	1.27E+00	2.08E+00	5.36E-01	8.84E-01	2.74E+00
Bambi 	7.36E-01	1.73E+00	2.86E-01	1.09E+00	2.00E+00	3.61E-01	1.41E+00	2.38E+00
Bdnf 	3.92E-01	8.61E-01	3.71E-01	1.65E+00	5.90E-01	1.14E-01	9.74E-01	5.15E-01
Bmpr1a 	6.56E-01	1.72E+00	8.21E-01	9.48E-01	2.89E+00	1.03E+00	8.01E-01	3.12E-01
Bmpr1b 	3.32E-01	9.11E-01	7.04E-01	1.02E+00	9.73E-01	3.77E-01	6.89E-01	8.19E-01
Ccr4 	2.78E-01	6.42E-01	3.12E-01	1.15E+00	5.24E-01	1.03E-01	1.07E+00	1.93E-01
Ccr5 	3.91E-01	9.66E-01	3.38E-01	1.68E+00	7.86E-01	1.30E-01	1.31E+00	6.76E-01
Ccr7 	2.24E+00	1.02E+01	1.19E-01	1.33E+00				6.80E+00
Ccr8 	3.81E-01	1.05E+00	3.56E-01	2.17E+00	3.16E-01	1.52E-01	1.19E+00	4.12E-01
Cdh11 	7.14E-01	2.69E-01	5.57E-01	8.55E-01	2.46E+00	1.23E+00	8.06E-01	3.33E-01
Cdh2 	4.31E-01	5.03E-01	9.57E-01	1.19E+00	1.14E+00	5.93E-01	8.67E-01	2.90E-01
Cdh6 	9.45E-01	5.07E-01	7.47E-01	3.14E+00	2.07E+00	4.12E-01	8.01E-01	1.21E+00
Cdh7 	1.36E+00	4.43E-01	5.21E-01	8.15E-01	1.81E+00	6.20E-01	6.44E-01	3.41E-01
Cfc1b 	7.21E-01	1.25E+00	1.93E-01	1.17E+00	1.94E+00	1.96E-01	5.58E-01	1.45E+00
Col2a1 	1.39E+00	4.99E-01	9.42E-01	1.92E+00	1.31E+00	7.68E-01	1.39E+00	7.16E-01
Cxcl12 	2.04E-01	4.28E-01	3.01E-01	7.53E-01	7.05E-01	2.94E-01	9.42E-01	5.64E-01
Cxcr4 	9.25E-01	9.64E-01	4.19E-01	1.52E+00	1.37E+00	4.87E-01	1.07E+00	1.07E+00
Cxcr5 	4.02E-01	5.03E-01	3.83E-01	1.46E+00	9.55E-01	9.31E-02	9.36E-01	3.53E-01
